Item1,Item1Name,Item2,Item2Name,PairCt,ItemCt,Prob,Incumbents,SalaryDiff,Salary1,Salary2,Salary1Min,Salary2Min,Hyperlink
4,AGRICULTURAL INSPECTOR AID,7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,7,18,0.38889,10,1891.08,3337.92,5229,2554.36,4208.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0007' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,1138,INTERMEDIATE CLERK,3,18,0.16667,2919,140.08,3337.92,3478,2554.36,2592,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=1138' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,4976,LABORATORY ASSISTANT,3,18,0.16667,159,40.9,3337.92,3378.82,2554.36,2585.74,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=4976' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,4,AGRICULTURAL INSPECTOR AID,2,18,0.11111,59,0,3337.92,3337.92,2554.36,2554.36,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0004' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,44,PEST CONTROL WORKER,1,18,0.05556,7,748.08,3337.92,4086,2554.36,3125,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0044' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,642,ACCOUNTING TECHNICIAN I,1,18,0.05556,166,708.44,3337.92,4046.36,2554.36,3095.18,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0642' target = '_blank' >View Description</a>
4,AGRICULTURAL INSPECTOR AID,2742,PARKING CONTROL OFFICER,1,18,0.05556,49,688.64,3337.92,4026.56,2554.36,3080.28,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=2742' target = '_blank' >View Description</a>
7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,9,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR II,86,89,0.96629,73,598.56,5229,5827.56,4208.46,4443.1,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0009' target = '_blank' >View Description</a>
7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,1,89,0.01124,10,0,5229,5229,4208.46,4208.46,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=0007' target = '_blank' >View Description</a>
7,AGRICULTURAL/WEIGHTS & MEASURES INSPECTOR I,3033,SAFETY ASSISTANT,1,89,0.01124,17,130,5229,5359,4208.46,4313,<a href='https://www.governmentjobs.com/careers/lacounty/classspecs?&keywords=3033' target = '_blank' >View Description</a>
