TitleCode,TitleLong,School_Program,Graduates_Exiters,Grads_PCT,Avg_Wage
0,Total - All Programs,Central Connecticut State University,1902,0.7754995,9259.064407
9,Communication; Journalism; and Related Programs,Central Connecticut State University,105,0.6952381,6824.328767
11,Computer and Information Sciences and Support Services,Central Connecticut State University,64,0.765625,12057.4898
13,Education,Central Connecticut State University,120,0.8583333,7142.572816
14,Engineering,Central Connecticut State University,56,0.8928571,15061.82
15,Engineering Technologies and Engineering-related Fields,Central Connecticut State University,91,0.8571429,13722.60256
16,Foreign Languages; Literatures; and Linguistics,Central Connecticut State University,15,0.6,6012.333333
23,English Language and Literature/Letters,Central Connecticut State University,83,0.7710843,5563.3125
26,Biological and Biomedical Sciences,Central Connecticut State University,110,0.6909091,6564.868421
27,Mathematics and Statistics,Central Connecticut State University,36,0.8055556,12058.93103
30,Multi/Interdisciplinary Studies,Central Connecticut State University,10,,
31,Parks; Recreation; Leisure; and Fitness Studies,Central Connecticut State University,37,0.7567568,5471.75
38,Philosophy and Religious Studies,Central Connecticut State University,5,,
40,Physical Sciences,Central Connecticut State University,23,0.6521739,6877.466667
42,Psychology,Central Connecticut State University,157,0.8025478,7102.095238
44,Public Administration and Social Service Professions,Central Connecticut State University,56,0.7857143,8295.590909
45,Social Sciences,Central Connecticut State University,266,0.7669173,7679.5
50,Visual and Performing Arts,Central Connecticut State University,72,,
51,Health Professions and Related Programs,Central Connecticut State University,101,0.8415841,14971.43529
52,Business; Management; Marketing; and Related Support Services,Central Connecticut State University,433,0.7921478,11035.84257
54,History,Central Connecticut State University,62,0.7258065,6742.644444
0,Total - All Programs,Eastern Connecticut State University,1075,0.7097675,7224.06422
5,Area; Ethnic; Cultural; Gender; and Group Studies,Eastern Connecticut State University,3,,
9,Communication; Journalism; and Related Programs,Eastern Connecticut State University,95,0.7789474,5794.351351
11,Computer and Information Sciences and Support Services,Eastern Connecticut State University,60,0.7166666,11196.18605
13,Education,Eastern Connecticut State University,63,0.6984127,7738.25
16,Foreign Languages; Literatures; and Linguistics,Eastern Connecticut State University,11,0.9090909,6446.7
23,English Language and Literature/Letters,Eastern Connecticut State University,53,0.7169811,6042.236842
24,Liberal Arts and Sciences; General Studies and Humanities,Eastern Connecticut State University,118,0.6271186,8006.202703
26,Biological and Biomedical Sciences,Eastern Connecticut State University,43,0.7209302,6270.741935
27,Mathematics and Statistics,Eastern Connecticut State University,31,0.6774194,8248.571429
31,Parks; Recreation; Leisure; and Fitness Studies,Eastern Connecticut State University,63,0.7301587,5495.173913
38,Philosophy and Religious Studies,Eastern Connecticut State University,2,,
40,Physical Sciences,Eastern Connecticut State University,16,0.75,5737.5
42,Psychology,Eastern Connecticut State University,111,0.7387387,6131.512195
44,Public Administration and Social Service Professions,Eastern Connecticut State University,43,0.6976744,5745.8
45,Social Sciences,Eastern Connecticut State University,111,0.6486486,6347.472222
50,Visual and Performing Arts,Eastern Connecticut State University,52,0.6538461,5388.617647
51,Health Professions and Related Programs,Eastern Connecticut State University,4,,
52,Business; Management; Marketing; and Related Support Services,Eastern Connecticut State University,194,0.757732,9082.612245
54,History,Eastern Connecticut State University,33,0.6666667,7045.090909
0,Total - All Programs,Southern Connecticut State University,1517,0.7613711,8015.851082
9,Communication; Journalism; and Related Programs,Southern Connecticut State University,92,0.6847826,5524.047619
11,Computer and Information Sciences and Support Services,Southern Connecticut State University,27,0.8148148,13650.68182
13,Education,Southern Connecticut State University,142,0.8098592,7041.026087
16,Foreign Languages; Literatures; and Linguistics,Southern Connecticut State University,19,,
23,English Language and Literature/Letters,Southern Connecticut State University,54,0.7962963,5832.930233
24,Liberal Arts and Sciences; General Studies and Humanities,Southern Connecticut State University,219,0.7853881,8553.44186
25,Library Science,Southern Connecticut State University,4,1,6808.5
26,Biological and Biomedical Sciences,Southern Connecticut State University,58,0.6896552,5752.025
27,Mathematics and Statistics,Southern Connecticut State University,9,,
30,Multi/Interdisciplinary Studies,Southern Connecticut State University,57,0.8070176,7199.086957
31,Parks; Recreation; Leisure; and Fitness Studies,Southern Connecticut State University,36,0.7222222,5920.846154
38,Philosophy and Religious Studies,Southern Connecticut State University,4,0.75,6609.666667
40,Physical Sciences,Southern Connecticut State University,27,0.7777778,9521.666667
42,Psychology,Southern Connecticut State University,161,0.8136646,6110.198473
44,Public Administration and Social Service Professions,Southern Connecticut State University,70,0.7,6479.510204
45,Social Sciences,Southern Connecticut State University,80,0.7625,7381.393443
50,Visual and Performing Arts,Southern Connecticut State University,46,0.6956522,6063.21875
51,Health Professions and Related Programs,Southern Connecticut State University,238,0.7815126,10809.87634
